E(level)(keV),Jπ(level),T1/2(level),E(γ)(keV),I(γ),M(γ),Final Levels,
13048 2,0+,3.0 keV 7,"3082,    3220,    4609,    5300,    5492","70 7 ,   100 7 ,    30 5 ,    23 5 ,    14 5",", D, , ,","9965.3,     9828.0,     8438.4,     7747.7,     7555.3","1+, 1+, 1-, 1+, 1-"
13050.0 1,4+,0.09 keV 3,"922.0,    1719.0,    1833.2,    2229.1,    2389.7,    2468.6,    3021.8,    3591.9,    3748.6,    3749.9,    3765.3,    5237.0,    5432.9,    7038.6,    7813.5,    8925.4,   11678.3","0.040 4 ,     0.021 7 ,     0.32 1 ,     0.052 5 ,     0.30 1 ,     2.28 7 ,     0.52 2 ,     2.52 8 ,     0.09 3 ,     0.35 3 ,     0.139 6 ,     0.20 1 ,     0.013 4 ,     1.83 6 ,     1.58 6 ,   100.0 2 ,     0.09 1",", , , , , , , , , , , , , , , ,","12128,    11330,    11216.69,    10820.8,    10660.17,    10581.26,    10027.97,     9457.81,     9301.07,     9299.8,     9284.4,     7812.4,     7616.41,     6010.34,     5235.16,     4122.853,     1368.667",", , 3+,4+, 3+,4+, (3+,4+), (2+,3+,4+), 5-, (3)+, (4+), , 2+,4+, (4-,5+), 3-, 4+, 3+, 4+, 2+"
13057 3,5-,< 1 keV,"2723,    4698,    5440,    8932","16 3 ,    15 3 ,    16 3 ,   100 5",", , ,","10333.6,     8358.1,     7616.41,     4122.853","3-, 3-, 3-, 4+"
13088.8 5,2+,9 keV 3,"3804.1,    4433.5,    4730.2,    7077.3,    7852.3,    8848.7,    8964.2,   11717.1,   13085.0","27,     6,    67,    10,   100,    40,    63,    20,     0.7",", , , , , , , ,","9284.4,     8654.9,     8358.1,     6010.34,     5235.16,     4238.35,     4122.853,     1368.667,        0","2+,4+, 2+, 3-, 4+, 3+, 2+, 4+, 2+, 0+"
13095 2,(2+),14 keV 3,,,,,
13133 3,0+,7 keV 1,,,,,
13138 3,,5.4 keV 5,,,,,
13146,,3.2 keV 5,,,,,
13160.5 7,,1.7 keV 7,,,,,
13178 3,,,,,,,
13184.6 8,,5.6 keV 4,,,,,
13196 2,0+,2.7 keV 4,,,,,
13206 2,(4+),14 keV 3,,,,,
13212.8,,2.3 fs 12,5099,100,,8113.2,6+
13260 4,1-,36 keV 3,,,,,
13268.7 7,(1)+,≈ 8 keV,,,,,
13275.5 10,,≈ 2 keV,,,,,
13335 3,1-,33 keV 3,,,,,
13345.7 6,3-,0.6 keV 2,"1824,    2685.7,    3887.6,    4045.5,    4341.8,    4905.9,    5728.6,    5996.3,    8109.1,    9105.5,    9220.9,   11973.8,   13341.7","1.9,    19,    19,    28,     2.8,   100,    33,     6,     2.8,    25,    31,     8,     0.8",", , , , , , , , , , , ,","11522,    10659.8,     9457.81,     9299.8,     9003.5,     8439.29,     7616.41,     7348.60,     5235.16,     4238.35,     4122.853,     1368.667,        0","2+, (1,2+), (3)+, , 2+, 4+, 3-, 2+, 3+, 2+, 4+, 2+, 0+"
13352,,,,,,,
13355.0 8,2-,15.2 keV 2,,,,,
13366.9 8,(2),1.6 keV 7,"2785,    5554,   11995,   13363","100,    35,     9,     9",", , ,","10581.26,     7812.4,     1368.667,        0","(2+,3+,4+), (4-,5+), 2+, 0+"
13370 10,0+,,,,,,
13390 15,[7-],,,,,,
13413 4,,2.8 keV 3,,,,,
13419.3 8,,3.2 keV 7,,,,,
13424.7 12,,3.2 keV 7,,,,,
13437 4,3-,15.0 keV 25,,,,,
13446.8 8,"(1,2)",< 0.4 keV,"2056,    5008,    9323,   12075,   13443","65 3 ,    21 10 ,  ,   100 4 ,    23 1",", , , ,","11391,     8438.4,     4122.853,     1368.667,        0","1-, 1-, 4+, 2+, 0+"
13450 20,6+,< 15 keV,,,,,
13452.4 8,"2+,(1+)",3.2 keV 7,,,,,
13474.9 8,"2+,3,4+",< 1 keV,"7463,    8238,    9350,   12103","60 3 ,   100 5 ,    15 7 ,     7 4",", , ,","6010.34,     5235.16,     4122.853,     1368.667","4+, 3+, 4+, 2+"
13482.9 8,,1.2 keV 3,,,,,
13542.3 8,,6.9 keV 10,,,,,
13585,(1)-,21 keV 2,,,,,
13587.1 10,1-,8.0 keV 10,,,,,
13632.6 11,,2.1 keV 12,,,,,
13677.4 9,,6.5 keV 17,,,,,
13686 1,2-,23 keV 3,,,,,
13708,(3-),≈ 130 keV,,,,,
13722 4,2+,4.3 keV 3,,,,,
13738 1,(2+),13 keV 3,,,,,
13771 3,5-,5.5 keV 23,"5412,    9646","100 10 ,    72 10",",","8358.1,     4122.853","3-, 4+"
13788 10,(4+),≈ 21 keV,,,,,
13800 3,0+,4.5 keV 7,,,,,
13813 3,1-,24 keV 4,,,,,
13819 2,2-,39 keV 9,,,,,
13841 3,,2.5 keV 5,,,,,
13850 4,,< 1 keV,,,,,
13882 2,1+,2.0 keV 2,,,,,
13886 3,2+,38 keV 8,,,,,
13893 3,0+,13 keV 2,,,,,
13910 1,4+,18 keV 3,,,,,
13933 2,"(1,2,3)+",3.0 keV 6,,,,,
13948 3,1+,4.0 keV 8,,,,,
13984 3,"(1,2,3)+",4.9 keV 5,,,,,
14019 4,3-,,,,,,
14026 3,2+,5.1 keV 8,,,,,
14037 2,(1-),21 keV 4,,,,,
14060 10,,< 4 keV,,,,,
14079 4,,24 keV 5,,,,,
14081 3,1+,6.0 keV 6,"3069,    4779,    8069,    9956","40 4 ,     2.2 9 ,    80 7 ,   100 7",", , ,","11012,     9301.07,     6010.34,     4122.853","3,5+, (4+), 4+, 4+"
14101 4,,1.4 keV 4,,,,,
14150 4,8+,1.8 keV 4,"4620 25 ,    6040 25","100 4 ,    33 4",",","9527.6,     8113.2","(6+), 6+"
14152 4,,6.2 keV 7,,,,,
14157 4,,,,,,,
14165 1,(4+),11.1 keV 19,,,,,
14245 4,,11.3 keV 14,,,,,
14264 1,(4+),16 keV 2,,,,,
14329 4,4+,< 1 keV,,,,,
14355 12,(3-),112 keV 29,,,,,
14397 2,4+,12 keV 3,,,,,
14461 10,,46 keV,,,,,
14500,,,,,,,
14568 10,"(3-,5-)",< 13 keV,,,,,
14582 10,,61 keV,,,,,
14648 6,,11 keV 9,,,,,
14696 1,(5-),9 keV 1,,,,,
14745 10,(4+),13 keV,,,,,
≈14793,,,,,,,
14928 10,"(0+,1-)",≈ 10 keV,,,,,
14995 10,"(4+,5-)",≈ 20 keV,,,,,
15045 35,(6-),,,,,,
≈15093,,,,,,,
15117 10,(4+),15 keV,,,,,
15141 10,,15 keV,,,,,
15179 3,(4+),57 keV 7,,,,,
15214 1,(5-),36 keV 3,,,,,
15233 3,(4+),27 keV 6,,,,,
15266 10,"(1-,3-)",≈ 8 keV,,,,,
15330 30,0+,,,,,,
15354 3,(4+),21 keV 4,,,,,
15385 3,(4+),31 keV 7,,,,,
15437.5 6,0+,0.7 keV 3,,,,,
15443 10,(2+),13 keV,,,,,
15484 10,(2+),15 keV,,,,,
15533 1,(6+),18 keV 2,,,,,
15570 15,,,,,,,
15611 3,(2+),31 keV 8,,,,,
15640 20,(6+),,,,,,
15691 10,(0+),≤ 15 keV,,,,,
15716 10,(4+),,,,,,
15750 15,"[7-,8+]",,,,,,
15790 30,0+,,,,,,
15793 10,(4+),13 keV,,,,,
15828 10,,87 keV,,,,,
15853 10,,< 13 keV,,,,,
15886 10,(4+),42 keV,,,,,
15978,"(1-,3-)",≈ 35 keV,,,,,
16070 20,6+,,,,,,
16136 10,(3-),19 keV 6,,,,,
16170 10,"(4+,6+)",< 8 keV,,,,,
16203 10,(6+),8 keV,,,,,
16278 10,(4+),30 keV,,,,,
16309 10,,10 keV,,,,,
16333,"(4+,6+)",,,,,,
16343 10,(4+),13 keV,,,,,
16395 4,(2+),37 keV 10,,,,,
16440 10,(7-),10 keV,,,,,
16477 1,(6+),8 keV 2,,,,,
16529 2,(6+),31 keV,,,,,
16564 10,8+,,,,,,
16602 10,6+,30 keV,,,,,
16611 10,(5-),≤ 8 keV,,,,,
16674 10,6+,30 keV,,,,,
16782 10,"(4+,6+)",30 keV,,,,,
16844 10,(6+),22 keV,,,,,
16874 6,(5-),73 keV 17,,,,,
16904 3,,< 7 fs,5043,100,,11860,(8+)
16929 3,(6+),44 keV 6,,,,,
17017 3,(7-),15 keV 10,,,,,
17088 3,(6+),44 keV 6,,,,,
17140 2,(5-),26 keV 6,,,,,
17190 15,8+,,,,,,
17227 2,(4+),17 keV 3,,,,,
17.29E3 4,,≈ 46 keV,,,,,
17407 10,(6+),20 keV,,,,,
17444 10,(6+),20 keV,,,,,
17465 10,,,,,,,
17520 15,,,,,,,
17623 3,(5-),23 keV 8,,,,,
17740 10,(4+),≈ 25 keV,,,,,
17748 10,,≈ 20 keV,,,,,
17782 10,,≈ 42 keV,,,,,
17840 10,,≈ 42 keV,,,,,
17900,(8+),,,,,,
17948 3,(4+),56 keV 8,,,,,
17990 10,(6+),≈ 17 keV,,,,,
18038 3,(5-),50 keV 8,,,,,
18075 10,,,,,,,
18097 10,,20 keV,,,,,
18157 10,(5-),20 keV,,,,,
18160,8+,,,,,,
18169 10,(7-),< 8 keV,,,,,
18203 10,,≈ 25 keV,,,,,
18273 10,(7-),≈ 21 keV,,,,,
18332 10,,≈ 17 keV,,,,,
18423 10,(6+),≈ 17 keV,,,,,
18465 10,,≈ 13 keV,,,,,
18740 15,,,,,,,
18970,(8+),,,,,,
19.0E3 3,,,,,,,
19110 15,(10+),,5856?,100,,13212.8,
19.2E3 3,,,,,,,
19.21E3 4,(9-),,,,,,
19400 15,,,,,,,
19.69E3 3,,,,,,,
19890 15,,,,,,,
19990 15,(7-),59 keV 5,,,,,
20.03E3 3,,28 keV 5,,,,,
20090,(9-),35 keV 13,,,,,
20210 15,[10+],35 keV 13,,,,,
20260 15,(8+),64 keV 8,,,,,
20.28E3 2,(2+),,,,,,
20420,(9-),,,,,,
20.46E3 1,,< 15 keV,,,,,
20.53E3 3,(6+),43 keV 13,,,,,
20.68E3 5,,,,,,,
20.83E3 3,,< 15 keV,,,,,
20.91E3 3,,< 15 keV,,,,,
20.94E3 3,,,,,,,
21.20E3 2,(4+),,,,,,
21.29E3 3,,< 15 keV,,,,,
21.39E3 2,(6+),,,,,,
21.46E3 2,,,,,,,
21.66E3 5,,,,,,,
21.80E3 1,,< 15 keV,,,,,
22.3E3 2,(4+),,,,,,
22.4E3 2,(8),,,,,,
22.79E3 2,,,,,,,
22.87E3 1,,< 15 keV,,,,,
22.93E3 3,,73 keV 13,,,,,
23.00E3 2,,,,,,,
23.10E3 3,,,,,,,
23.19E3 3,,< 15 keV,,,,,
23.26E3 1,,< 15 keV,,,,,
23.77E3 1,"(6+,(8+))",,,,,,
24.37E3 3,(9),27 keV 3,,,,,
24.53E3 5,,,,,,,
24.60E3 3,(8+),,,,,,
24.98E3 14,(9),,,,,,
25.18E3 3,(6+),163 keV 6,,,,,
25.40E3 3,,,,,,,
25.8E3 2,"(9,10)",,,,,,
26.2E3 2,(10),,,,,,
26.28E3 2,(12+),,,,,,
26.45E3 3,(8+),115 keV 20,,,,,
26.67E3 3,(12+),,,,,,
26.8E3 2,(10),,,,,,
27.4E3 1,,,,,,,
28.0E3 1,(10),,,,,,
28.5E3 1,,,,,,,
29.3E3 1,"(10,12)",,,,,,
29.7E3 1,,,,,,,
30.1E3 1,(12),,,,,,
31.2E3 1,(12),,,,,,
31.8E3 1,,,,,,,
32.6E3 1,(10),,,,,,
33.1E3 1,,,,,,,
37500,,,,,,,
43000,,,,,,,
46400,"(14+,16+)",,,,,,
