Nucleus      Ex   T1/2      Jπ       m(nm)             Method      NSR_Keynumber       Journal_Reference
19 K 41     2774      51 ps     13/2+      3.0(5)      RIGV       1981Le19       ZP A301 243 (81)
19 K 41     4983      71 ps     19/2-       7(3)       RIGV       1981Le19       ZP A301 243 (81)


19 K 43      738      200 ns     7/2-     +4.43(5)    TDPAD       1983Ra37        HFI 15 59 (83)


20 Ca 40    3737      47 ps       3-       +1.6(3)    IMPAC       1987Ma25       ZP A327 157 (87)
20 Ca 40    4491      295 ps      5-       +2.6(5)     IPAD       1974He13       PR C10 919 (74)


20 Ca 41    3830      3.0 ns    15/2+     +2.18(15)   TDPAD       1975Yo05       PR C12 1358 (75)


20 Ca 42    1525      0.83 ps     2+      +0.08(12)     TF        2003Sc21       PL B571 29 (03)
20 Ca 42    3189      5.3 ns      6+      -2.49(9)    TDPAD       1975Yo02       PRL 35 497 (75)


20 Ca 44    1157      2.7 ps      2+      +0.34(6)      TF        2003Sc21       PL B571 29 (03)


20 Ca 46    1346      3.6 ps      2+      -0.52(12)     TF        2005Ta02       PL B605 265 (05)


21 Sc 43     152      438 mus     3/2+     +0.348(6)   TDPAD       1977Mi10       PR C16 1605 (77)
21 Sc 43     3124      472 ns    19/2-     +3.122(7)   TDPAD       1978Ha07       PL 73B 127 (78)


21 Sc 44     68       155 ns      1-      +0.342(6)   TDPAC       1967Ri06       PR 153 1209 (67)
21 Sc 44     235      6.1 ns      2-      +0.68(10)   TDPAD       1975Br12      NuoCL 12 433 (75)
21 Sc 44     350      3.1 ns      4+       +3.6(5)     IPAD       1975Ch37       ZP A275 51 (75)


21 Sc 47     767      272 ns    (3/2)+     0.35(5)    TDPAD       1968Fo02       PR 168 1228 (68)


22 Ti 43    3066      556 ns    (19/2-)   +7.22(1)    TDPAD       1978Ha07       PL 73B 127 (78)


22 Ti 44    1083      3.1 ps      2+       +1.0(3)      TF        2003Sc19       PL B567 153 (03)


22 Ti 45     39       11.3 ns    5/2-     -0.08(3)    TDPAD       1977St12       PR C15 1704 (77)
"22 Ti 45     329      1.10 ns    3/2+      +1.1(3)    IPAD, R     1977Bu10       CJP 55 779 (77)"


22 Ti 46     889      5.32 ps     2+      +0.99(15)     TF        2000Er06      PR C62 024305 (00)
22 Ti 46     2010      1.62 ps     4+       +2.3(7)      TF        2000Er06      PR C62 024305 (00)


22 Ti 47     159      210 ps     7/2-      -1.9(6)     IPAD       1977Bu10       CJP 55 779 (77)




17
Nucleus    Ex (keV)    T1/2        I        munm       Method   NSR Keynumber   Journal Reference
22 Ti 48     984      4.04 ps     2+      +0.78(12)      TF        2000Er06      PR C62 024305 (00)
22 Ti 48     2296      0.76 ps     4+       +2.2(6)       TF        2000Er06      PR C62 024305 (00)


22 Ti 50    1554      1.06 ps     2+       +2.9(4)       TF        2000Sp08      PR C62 031301 (00)
22 Ti 50    3198      0.42 ns     6+       +9.3(10)     IPAD       1976Bo25       NP A266 457 (76)


22 Ti 52    1050       3.6 ps     2+       +1.7(4)       TF        2006Sp02       PL B633 219 (06)
22 Ti 52    2318       3.3 ps     4+       +1.8(6)       TF        2006Sp02       PL B633 219 (06)


23 V 46      801      1.02 ms     3+       +1.64(3)     TDPAD      1982Si15       ZP A309 71 (82)


23 V 48      308       7.1 ns     2+       +0.44(2)     TDPAC      1987Bi14        HFI 34 61 (87)


23 V 49      153      19.9 ns    3/2-     +2.37(12)     TDPAD      1972Vi06       PL 40B 638 (72)


23 V 51      320      184 ps     5/2-      +3.7(3)      CEAD       1968Ke09       NP A120 540 (68)


24 Cr 49    4366      1.67 ps    19/2-     8.4(12)       TF        1993Pa22       PR C48 1573 (93)


24 Cr 50     783      9.67 ps     2+      +1.24(18)      TF        2000Er06      PR C62 024305 (00)
24 Cr 50     1881       2.2 ps     4+       +3.1(8)       TF        2000Er06      PR C62 024305 (00)
24 Cr 50     3164      0.69 ps     6+        +4(1)        TF        1994Pa34       PR C50 2608 (94)
24 Cr 50     4743      0.28 ps     8+       +4.8(12)      TF        1994Pa34       PR C50 2608 (94)


24 Cr 51     749       3.3 ns    3/2-     -0.86(12)     TDPAD      1974Ko10        IzF 38 155 (74)


24 Cr 52    1434      0.783 ps    2+       +2.4(4)       TF        2000Er06      PR C62 024305 (00)


24 Cr 54     835       8.0 ps     2+       +1.7(2)       TF        2001Wa36      PR C64 034320 (01)


25 Mn 53     378      117 ps     5/2-      +3.3(3)      IMPAC      1975Si08        NP A243 1 (75)


26 Fe 53     741       64 ns     3/2-     -0.386(15)    TDPAD      1989Ra17        ARHMI 64 (74)


26 Fe 54    1408      0.76 ps     2+      +1.70(13)      TF        2009Ea01      PR C79 024304 (09)
26 Fe 54    2949      1.22 ns     6+        8.2(2)      TDPAD      1971He21       PRL 27 1587 (71)
26 Fe 54    6527      364 ns     10+       +7.28(1)     TDPAD      1983Ra03       PR C27 602 (83)


26 Fe 55     931        8 ps     5/2-      +2.7(12)     TDPAD      1973Ke03       CJP 51 707 (73)
26 Fe 55     1317        2 ps     7/2-       +2(2)       IPAD       1973Ke03       CJP 51 707 (73)
