Nucleus      Ex   T1/2      Jπ       m(nm)             Method      NSR_Keynumber       Journal_Reference

38 Sr 82     573      8.9 ps        2+       +0.9(4)      TF        2014Ku10       PR C89 064305 (14)
38 Sr 82     1328      1.0 ps        4+       +2.1(16)     TF        2014Ku10       PR C89 064305 (14)
38 Sr 82     2229      0.37 ps       6+       +3.5(5)      TF        2010FA08      NP A834 107c (2010)
38 Sr 82     2817      3.0 ps        5-        +2(2)       TF        1989Ku11        JP G15 1039 (89)
38 Sr 82     3243      0.24 ps       8+       +5.6(8)      TF        1989Ku11        JP G15 1039 (89)
38 Sr 82     3623      0.7 ps        8+       +5.6(8)      TF        1989Ku11        JP G15 1039 (89)
38 Sr 82     4424      0.9 ps       10+        +11(5)      TF        1989Ku11        JP G15 1039 (89)


38 Sr 84     793      3.2 ps        2+      +0.96(14)     TF        2012Ku14       PR C85 044322 (12)
38 Sr 84     3332      157 ps        8+        -1(2)       TF        1989Ku11        JP G15 1039 (89)
38 Sr 84     3488      4.4 ps       (7-)      +4.2(14)     TF        1989Ku11        JP G15 1039 (89)
38 Sr 84     3680      3.3 ps        8+       +7.2(8)      TF        1989Ku11        JP G15 1039 (89)


23
Nucleus    Ex (keV)    T1/2       I        munm      Method    NSR Keynumber   Journal Reference
38 Sr 84     4448      2.2 ps     10+     +2.0(10)       TF        1989Ku11       JP G15 1039 (89)
38 Sr 84     4534      1.66 ps    10+       +8(2)        TF        1989Ku11       JP G15 1039 (89)
38 Sr 84     4636      2.5 ps     (9-)       0(4)        TF        1989Ku11       JP G15 1039 (89)


38 Sr 86    1077      1.4 ps     2+      +0.57(9)       TF        2012Ku14      PR C85 044322 (12)
38 Sr 86    1854      0.39 ps    2+       +0.8(3)       TF        2012Ku14      PR C85 044322 (12)
38 Sr 86    2230      1.7 ps     4+        -3(2)        TF        2012Ku14      PR C85 044322 (12)
38 Sr 86    2956      455 ns     8+       -1.93(2)    TDPAD       1978Ha52        HFI 4 196 (78)


38 Sr 88    1836      0.15 ps    2+       +2.4(4)       TF        2012Ku14      PR C85 044322 (12)


38 Sr 90     832      6.9 ps     2+       -0.2(2)       TF        2014Ku10      PR C89 064305 (14)
38 Sr 90     1656      12.0 ps    4+       -0.1(7)       TF        2014Ku10      PR C89 064305 (14)


38 Sr 91     94       88.9 ns   (3/2)+    -0.35(2)    TDPAC       1993Wo07       PR C48 562 (93)


38 Sr 93     213      4.6 ns    (9/2)+    -0.34(2)    TDPAC       2004Sa69      HFI 159 251 (2004)


38 Sr 98     144      2.8 ns     2+      0.76(14)      IPAC       1989Wo05       PR C40 932 (89)
PRL 116 022701
38 Sr 98     433      80 ps      4+       -1.9(2)      CER        2016Cl01
(2016)
PRL 116 022701
38 Sr 98     867         ? ?       6+       -1.2(3)      CER        2016Cl01
(2016)
PRL 116 022701
38 Sr 98     871         ? ?     2+      +0.02(12)     CER        2016Cl01
(2016)
PRL 116 022701
38 Sr 98     1432       3 ps      8+       -1.0(8)      CER        2016Cl01
(2016)


39 Y 83      145      119 ps    7/2+      +2.1(6)     IMPAD       1990Bh03        HFI 59 109 (90)
39 Y 83      595      5.4 ps    13/2+      +8(3)      IMPAD       1990Bh03        HFI 59 109 (90)
39 Y 83      2560      46 ps     17/2-     +2.5(5)     IMPAD       1990Bh06       PL B252 540 (90)


39 Y 84      112      79 ns     (4+)     +2.31(3)     TDPAD       2005Io02      PR C72 044313 (05)
39 Y 84      210      292 ns     (4-)    +0.94(2)     TDPAD       2005Io02      PR C72 044313 (05)


39 Y 85      266      178 ns    (5/2)-   +1.36(2)     TDPAD       2000Io02      PR C62 014306 (00)


Eur Phys J A44 31
39 Y 86      208      70 ns      (5)-    -0.415(15)   TDPAD       2010Ru03
(2011)
39 Y 86      243      28.6 ns     2-      -1.06(6)    TDPAC       1968Tr11       Cf 68HI 145 (68)
Eur Phys J A44 31
39 Y 86      302      127 ns     6+      +3.78(12)    TDPAD/R     2010Ru03
(2010)


39 Y 90      203      250 ps     3-       -0.85(7)     IPAC       1974Kl06        NP A224 1 (74)


40 Zr 88    1057      2.5 ps     2+       +0.6(2)       TF        2012Ku14      PR C85 044322 (12)
40 Zr 88    2140      1.5 ps     4+       +2.6(7)       TF        2012Ku14      PR C85 044322 (12)
40 Zr 88    2888      1.32 mus    8+       -1.81(2)    TDPAD       1978Ha52        HFI 4 196 (78)


40 Zr 89    2995      5.1 ns    21/2+     +9.4(4)     TDPAD       1988Ba11       ZP A329 429 (88)




24
Nucleus     Ex (keV)    T1/2         I        munm      Method   NSR Keynumber   Journal Reference
40 Zr 90     2186      0.088 ps     2+       +2.5(6)       TF       2000Ja11       PL B494 187 (00)
40 Zr 90     2748      140 ps       3-       +3.0(5)       TF       2000Ja11       PL B494 187 (00)
40 Zr 90     3589      131 ns       8+      +10.84(6)    TDPAD      1977Ha49       NP A293 248 (77)


40 Zr 91     2287       29 ns      15/2-     +5.25(8)    TDPAD      1976Ba02       NP A257 135 (76)
40 Zr 91     3167       4.4 mus    (21/2+)    +9.82(8)    TDPAD      1982RaZR       BAPS 27 727 (82)


PRC C78 031301(R)
40 Zr 92      934       5.0 ps      2+       -0.36(5)      TF       2008We07
(08)
40 Zr 92      1495      102 ps       4+       -2.0(4)       TF       1999Ja13       PL B468 13 (99)
PRC C78 031301(R)
40 Zr 92      1847      0.096 ps     2+       1.5(10)       TF       2008We07
(08)

PRC C78 031301(R)
40 Zr 94      919       6.9 ps      2+       0.64(10)      TF       2008We07
(08)
40 Zr 94      1470      500 ps       4+       -3.2(16)      TF       1999Ja13       PL B468 13 (99)
PRC C78 031301(R)
40 Zr 94      1671      0.12 ps      2+       +1.8(5)       TF       2008We07
(08)


40 Zr 96     1750      0.57 ps      2+      +0.06(14)      TF       2003Ku11       PL B562 193 (03)
40 Zr 96     1897       68 ps       3-       +2.9(5)       TF       2003Ku11       PL B562 193 (03)


40 Zr 97     1264      102 ns      7/2+     +1.37(14)    TDPAC      1985Be20       PL 156B 159 (85)


40 Zr 99      122      1.07 ns     3/2+      +0.42(6)     IPAC      1995Wo01       PR C51 2381 (95)


40 Zr 100     213      0.61 ns      2+       +0.60(6)     IPAC      2004Sm04       PL B591 55 (04)


40 Zr 101     98        0.6 ns    (5/2+)     +0.12(7)     IPAC      2006Or05      PR C73 054310 (06)
40 Zr 101     217      0.33 ns    (5/2-)     -0.5(3)      IPAC      2006Or05      PR C73 054310 (06)
40 Zr 101     232      <70 ps     (7/2+)     +0.6(4)      IPAC      2006Or05      PR C73 054310 (06)
40 Zr 101     321      0.27 ns    (7/2-)    -0.14(11)     IPAC      2006Or05      PR C73 054310 (06)


40 Zr 102     152       1.8 ns      2+      +0.44(10)     IPAC      2004Sm04       PL B591 55 (04)


41 Nb 87     2412       58 ps      17/2-     +7.0(9)     IMPAD      1995We03       NP A584 133 (95)
41 Nb 87     2491      13.9 ps    21/2+      +4.3(14)    IMPAD      1995We03       NP A584 133 (95)


41 Nb 89     2193      13.8 ns    21/2+      +3.40(7)    TDPAD      1994Kr01       PR C49 705 (94)


41 Nb 90      122       63 mus       6+       +3.72(2)    TDPAD      1975Ho16        PL 58B 43 (75)
41 Nb 90      1880      472 ns      11-       +8.78(3)    TDPAD      1978Ha52        HFI 4 196 (78)


41 Nb 91     1984       10 ns      13/2-    +9.14(13)    TDPAD      1977ZaZW      Cf77Tash 374 (77)
41 Nb 91     2034       3.8 mus     17/2-    +10.82(14)   TDPAD      1977Ha49       NP A293 248 (77)
41 Nb 91     3467       0.9 ns    21/2+      +12(2)       IPAD      1977Ba34       APPo B8 147 (77)


"SOPAD,"
41 Nb 92      225       5.9 mus      2-      -1.398(14)              1974Le05       NP A221 319 (74)
TDPAD
41 Nb 92      2203      167 ns      11-       +9.7(3)     TDPAD      1977Br12       PR C15 2044 (77)



25
 Nucleus    Ex (keV)    T1/2       I       munm      Method   NSR Keynumber     Journal Reference


42 Mo 89     2584      9.5 ns    21/2+    +8.3(4)     TDPAD      1995We12         ZP A353 7 (95)


42 Mo 90     2549      16 ps      5-      +5.5(14)    IMPAD      1994We09        JP G20 L77 (94)
42 Mo 90     2875      1.1 mus     8+     -1.391(14)   TDPAD      1978Ha52         HFI 4 196 (78)
42 Mo 90     4556      526 ps    12+      +6.0(7)     IMPAD      1994We09        JP G20 L77 (94)
42 Mo 90     4842      39 ps      11-     +4.6(14)    IMPAD      1994We09        JP G20 L77 (94)


42 Mo 91     2267      47 ns     21/2+    +8.81(8)    TDPAD      1983Ra08        PR C27 1532 (83)
42 Mo 91     2279      38 ns     17/2-    +4.51(6)    TDPAD      1983Ra08        PR C27 1532 (83)


42 Mo 92     1509      0.35 ps    2+      +2.3(3)      TF        2001Ma17       PR C63 034312 (01)
42 Mo 92     2760      190 ns     8+     +11.30(5)    TDPAD      1977Ha49        NP A293 248 (77)
42 Mo 92     4486      8.7 ns     11-     +13.9(3)    TDPAD      1977Ha49        NP A293 248 (77)


42 Mo 94      871      2.8 ps     2+      +0.62(9)     TF        2001Ma17       PR C63 034312 (01)
42 Mo 94      2956      98 ns      8+     +10.54(12)   TDPAD      1975Fa04        ZP A273 157 (75)



42 Mo 95      204      0.75 ns   3/2+    -0.404(12)   IPAC       1984Al11        ZP A317 107 (84)


42 Mo 96      778      3.7 ps     2+      +0.79(6)     TF        2001Ma17       PR C63 034312 (01)


42 Mo 98      787      3.5 ps     2+      +0.97(6)     TF        2011Ch23      PR C83 054318 (2011)


42 Mo 99      98       15.5 ns   5/2+    -0.775(5)    TDPAD      1978Ra21        PR C18 2494 (78)


42 Mo 100     536      12.6 ps    2+      +0.94(7)     TF        2001Ma17       PR C63 034312 (01)


42 Mo 102     297      125 ps     2+      0.76(13)    IPAC       1985Me13        ZP A321 593 (85)
42 Mo 102     297      125 ps     2+      +0.8(4)     IPAC       2004Sm04        PL B591 55 (04)


42 Mo 103     103      0.43 ns   5/2+     +0.14(3)    IPAC       2006Or05       PR C73 054310 (06)
42 Mo 103     354      1.20 ns   7/2-    -0.33(11)    IPAC       2006Or05       PR C73 054310 (06)


42 Mo 104     192      0.9 ns     2+      +0.54(4)    IPAC       2004Sm04        PL B591 55 (04)


42 Mo 105     95       0.48 ns   7/2-     -0.22(3)    IPAC       2006Or05       PR C73 054310 (06)
42 Mo 105     233      0.11 ns   9/2-    -0.12(16)    IPAC       2006Or05       PR C73 054310 (06)


42 Mo 106     172      1.25 ns    2+      +0.42(4)    IPAC       2004Sm04        PL B591 55 (04)


42 Mo 108     193      0.50 ns    2+      +1.0(6)     IPAC       2004Sm04        PL B591 55 (04)


43 Tc 92     2002      3.2 ns     11-     +8.9(3)     TDPAD      1996Tu03        PR C54 2904 (96)


43 Tc 93     2185      10.2 mus   17/2-   +10.46(5)    TDPAD      1977Ha49        NP A293 248 (77)



26
Nucleus     Ex (keV)    T1/2       I      munm      Method   NSR Keynumber    Journal Reference


43 Tc 96      121      26 ns     (2)-    -0.47(2)    TDPAD      1977BeWG       Cf77Tash 370 (77)


43 Tc 99      141      0.19 ns   7/2+    +4.48(15)    IPAC      1993Al23        ZP A347 1 (93)
43 Tc 99      181      3.61 ns   5/2+     3.48(4)    NMR/ON     1995Hi06       ZP A350 311 (95)


44 Ru 93     2082      2.5 mus    21/2+   +8.97(2)    TDPAD      1983Gr33         HFI 15 65 (83)
44 Ru 93     2280      35 ns     17/2-    +4.4(2)    TDPAD      1983Gr33         HFI 15 65 (83)


44 Ru 94     2498      65 ns      6+     +8.12(5)    TDPAD      1977Ha49       NP A293 248 (77)
44 Ru 94     2644      71 mus      8+     +11.10(4)   TDPAD      1977Ha49       NP A293 248 (77)
44 Ru 94     4489      0.76 ns    11-    14.1(17)   IMPAD      1999Ju04       EurPJ A6 29 (99)
44 Ru 94     4716      24 ps     12+     12.4(17)   IMPAD      1999Ju04       EurPJ A6 29 (99)


44 Ru 95     2285       3 ns     17/2+   +6.98(14)   TDPAC      1976Le30      BRASP 40 6-128 (76)
44 Ru 95     2540      10 ns     21/2+   +9.17(7)    TDPAD      1988Gr34       PRL 61 1249 (88)
44 Ru 95     3908      36 ps     25/2-     11(4)     IMPAD      1999Ju04       EurPJ A6 29 (99)
44 Ru 95     6211      9.5 ps    29/2+     9(5)      IMPAD      1999Ju04       EurPJ A6 29 (99)
44 Ru 95     7624      21 ps     35/2+     7(2)      IMPAD      1999Ju04       EurPJ A6 29 (99)


44 Ru 96      833      2.9 ps     2+     +0.89(6)      TF       2011Ch23      PR C83 054318 (11)
44 Ru 96     1515      6.9 ps     4+      +2.3(3)      TF       2012To01      PR C85 017305 (12)


44 Ru 97     2739      7.8 ns    21/2+    +9.2(8)    TDPAD      1982Di18       RRou 27 731 (82)


44 Ru 98      652      5.5 ps     2+     +0.82(6)      TF       2011Ch23      PR C83 054318 (11)


44 Ru 99      90       20.5 ns   3/2+    -0.284(6)   TDPAC      1965Ma27       PR 139 B532 (65)
44 Ru 99      90       20.5 ns   3/2+      -0.292(3)    ME        1989Ra17        JDal 1253 (73)
PR 144 1022 (66)/PR
44 Ru 99      90       20.5 ns   3/2+     -0.292(7)    ME        1966Ki02
149 990 (66)


44 Ru 100     540      12.6 ps    2+     +0.86(5)      TF       2011Ch23      PR C83 054318 (11)


44 Ru 101     127      0.65 ns   3/2+    -0.210(5)   TDPAC      1986Sc15       PR C33 2176 (86)


44 Ru 102     475      18 ps      2+     +0.91(5)      TF       2011Ch23      PR C83 054318 (11)


44 Ru 104     358      56 ps      2+     +0.81(4)      TF       2011Ch23      PR C83 054318 (11)


44 Ru 106     270      0.20 ns    2+      +0.6(2)     IPAC      2004Sm04        PL B591 55 (04)


J Phys. G 31 S1433
44 Ru 108     242      0.36 ns    2+     +0.43(8)     IPAC      2005Sm08
(05)

J Phys. G 31 S1433
44 Ru 110     241      0.32 ns    2+     +0.84(12)    IPAC      2005Sm08
(05)


44 Ru 112     237      0.32 ns    2+      +0.9(2)     IPAC      2004Sm04        PL B591 55 (04)


27
Nucleus     Ex (keV)    T1/2       I       munm      Method   NSR Keynumber     Journal Reference


45 Rh 95     2236      19 ns     17/2-   +10.9(3)     TDPAD      1983Gr33         HFI 15 65 (83)


45 Rh 100     75       215 ns     2+     +4.324(8)    TDPAC      1966Ma54        NIM 45 309 (66)
45 Rh 100     220      130 ns     7+     +4.69(14)    TDPAD      1990Bi03        ZP A335 365 (90)


45 Rh 103     93       1.11 ns   9/2+     +4.9(8)     IPAC       1973Ba52          PS 8 90 (73)
45 Rh 103     295      6.6 ps    3/2-    +0.81(8)      TF        1989La14        NP A496 589 (89)
45 Rh 103     357      73 ps     5/2-    +1.08(8)      TF        1989La14        NP A496 589 (89)
45 Rh 103     848      1.9 ps    7/2-     +2.0(6)      TF        1989La14        NP A496 589 (89)
45 Rh 103     920      5.6 ps    9/2-     +2.8(5)      TF        1989La14        NP A496 589 (89)


45 Rh 104     345      47 ns      6-     +2.00(6)     TDPAD      1990Bi03        ZP A335 365 (90)


46 Pd 96     2531      2.1 mus     8+     +10.97(6)    TDPAD      1983Gr01        PL 120B 63 (83)
46 Pd 96     7040      35 ns     (15+)   (+)12.5(6)   TDPAD      1989Al05        ZP A332 129 (89)


46 Pd 100     666      6.2 ps     2+      +0.6(3)      TF        2011To09         PR C84 044327
46 Pd 100     1416      2.5 ps     4+      +1.8(6)      TF        2011To09         PR C84 044327


46 Pd 102     556      11.5 ps    2+     +0.82(6)      TF        2011Ch23      PR C83 054318 (2011)


46 Pd 103     785      25 ns     11/2-    -1.05(6)    TDPAD      1981KaZE         ZfK-455 27 (81)


46 Pd 104     556      9.9 ps     2+     +0.89(6)      TF        2011Ch23      PR C83 054318 (2011)


46 Pd 105     281      67 ps     3/2+    -0.074(13)   IPAC       1981Al19        ZP A302 223 (81)
46 Pd 105     319      39 ps     5/2+     +1.0(2)     IPAC       1981Al19        ZP A302 223 (81)
46 Pd 105     645      126 ps    7/2-     -1.49(9)    IPAC       1981Al19        ZP A302 223 (81)


46 Pd 106     512      12 ps      2+     +0.79(5)      TF        2011Ch23      PR C83 054318 (2011)
46 Pd 106     1128      3.1 ps     2+      +1.0(2)      TF        2010Gu20         PR C82 064301
46 Pd 106     1229      1.5 ps     4+      +1.8(4)      TF        2010Gu20         PR C82 064301


46 Pd 108     434      24 ps      2+     +0.69(4)      TF        2011Ch23      PR C83 054318 (2011)


46 Pd 110     374      44 ps      2+     +0.67(4)      TF        2011Ch23      PR C83 054318 (2011)


46 Pd 114     333      82 ps      2+      +0.5(2)     IPAC       2004Sm04        PL B591 55 (04)


46 Pd 116     340      0.11 ns    2+      +0.4(2)     IPAC       2004Sm04        PL B591 55 (04)


47 Ag 104     212      1.4 ns     7+       4.8(3)     IPAD       1989VoZR        Cf89Tshkt 71 (89)


47 Ag 105    1734      5.6 ns    15/2+   +3.73(14)    TDPAD      1980Le05         IzF 44 202 (80)


47 Ag 107     325      5.0 ps    3/2-     +0.9(2)      TF        1986Ba14        PR C33 1461 (86)



28
Nucleus     Ex (keV)    T1/2       I       munm       Method     NSR Keynumber        Journal Reference
47 Ag 107     423      30 ps     5/2-     +1.0(2)       TF           1986Ba14          PR C33 1461 (86)


NP A229 72 (74)/JPJa
"47 Ag 108     215      46 ns      3+     +3.888(15)   TDPAD, R   1974Be47/1976Ha57"
41 1830 (76)


47 Ag 109     311      5.9 ps    3/2-     +1.0(2)       TF           1986Ba14          PR C33 1461 (86)
47 Ag 109     415      33 ps     5/2-    +0.73(15)      TF           1986Ba14          PR C33 1461 (86)


NP A229 72 (74)/JPJa
47 Ag 110     119      37 ns      3+      +3.77(3)     TDPAD         1974Be47
41 1830 (76)


48 Cd 100    2548      60 ns      8+       9.9(5)      TDPAD         1992Al17           ZP A344 1 (92)


48 Cd 102    2719      39 ns      8+      10.3(2)      TDPAD         1992Al17           ZP A344 1 (92)


48 Cd 105    2517      4.5 mus    21/2+    +9.17(6)    SOPAD          1978Sp09           HFI 4 229 (78)


48 Cd 106     633      5.1 ps     2+      +0.79(6)      TF           2011Ch23        PR C83 054318 (2011)
48 Cd 106     1494      1.7 ps     4+      +0.9(2)       TF           2016Be24        PR C94 034303 (2016)
"48 Cd 106     4660      62 ns     12+      +8.9(2)     TDPAD, R       1986Vo14          YadF 44 849 (86)"


48 Cd 107     846      71 ns     11/2-   -1.041(11)    TDPAD         1974Be17          NP A222 399 (74)
48 Cd 107     2679      55 ns     21/2+   +9.10(10)     TDPAD         1974Ha48          PL 52B 329 (74)


48 Cd 108     633      6.9 ps     2+      +0.78(6)      TF           2011Ch23        PR C83 054318 (2011)
48 Cd 108     4154      35 ps     10+      -2.5(8)       TF           2015Fa06         HFI 230 155 (2015)
48 Cd 108     4710      10 ps     12+      -2.4(8)       TF           2015Fa06         HFI 230 155 (2015)
48 Cd 108     5504      1.5 ps    14+      -1.5(6)       TF           2015Fa06         HFI 230 155 (2015)
48 Cd 108     6460      0.4 ps    16+      -1.4(5)       TF           2015Fa06         HFI 230 155 (2015)


48 Cd 109     463      10.9 mus   11/2-   -1.096(2)     SOPAD         1971BiZI           Cf70HI 356 (70)


48 Cd 110     658      5.0 ps     2+      +0.81(6)      TF           2011Ch23        PR C83 054318 (2011)
48 Cd 110     3611      0.49 ns   10+      -0.9(3)      IMPAD         1995Re15          NP A591 533 (95)


48 Cd 111     245      84 ns     5/2+    -0.766(3)     TDPAC         1974Be51          ZP 270 203 (74)
48 Cd 111     342      24 ps     3/2+     +0.9(6)       TF           2016St09        PR C93 031302 (2016)
48 Cd 111     620      9.7 ps    5/2+    +0.48(13)      TF           2016St09        PR C93 031302 (2016)


48 Cd 112     617      6.5 ps     2+      +0.72(5)      TF           2011Ch23        PR C83 054318 (2011)


48 Cd 113     299      29 ps     3/2+     -0.4(8)       TF           1988Be45           HFI 43 457 (88)
48 Cd 113     584      6.9 ps    5/2+    +0.42(10)      TF           2016St09        PR C93 031302 (2016)
48 Cd 113     681      4.9 ps    3/2+     +2.1(6)       TF           2016St09        PR C93 031302 (2016)


48 Cd 114     558      10.2 ps    2+      +0.65(4)      TF           2011Ch23        PR C83 054318 (2011)


48 Cd 116     513      14.1 ps    2+      +0.59(5)      TF           2011Ch23        PR C83 054318 (2011)
END

29
Nucleus     Ex (keV)    T1/2        I       munm      Method     NSR Keynumber        Journal Reference
49 In 111    2717      13.7 ns    21/2+    +5.3(2)     TDPAD         1980Le05           IzF 44 202 (80)
49 In 111    2717      13.7 ns    21/2+    +4.9(2)     TDPAD         1981Va15          ZP A301 137 (81)


49 In 112     351      0.69 mus     7+      +4.73(4)    TDPAD         1976Io04           NP A272 1 (76)
49 In 112     614      2.81 mus     8-      +3.08(3)    TDPAD         1976Io04           NP A272 1 (76)


49 In 115     829      5.78 ns    3/2+    +0.74(13)     IPAC         1974Ba24          NP A222 168 (74)


ZP A325 475 (86)/ZP
"49 In 117     589      0.19 ns    3/2-      >0.84     IPAC, R   1986Bo36/1985Al05"
A320 425 (85)
49 In 117     660      53.6 ns    3/2+    +0.910(10)   TDPAC         1983De54           HFI 15 31 (83)


49 In 119     654      130 ns     3/2+     +0.53(3)    TDPAD        1980HaYW            ARHMI 75 (79)


50 Sn 108    2365       7.3 ns     6+     -0.24(12)     TFL          1983Ha37          NP A410 317 (83)


50 Sn 110    1212      0.48 ps     2+      +0.6(2)       TF          2016Ku05        PR C93 044316 (2016)
50 Sn 110    2197       (4 ps)     4+      +0.2(6)       TF          2016Ku05        PR C93 044316 (2016)
BRASP 53 (11) 133
50 Sn 110    2478       5.6 ns     6+      +0.07(3)    TDPAD         1989Vo17
(89)
BRASP 53 (11) 133
50 Sn 110    3766      1.16 ns     8-      -2.4(12)    TDPAD         1989Vo17
(89)


50 Sn 111     979      10.0 ns    11/2-   -1.26(11)    TDPAD         1974Br29          PR C10 1414 (74)


50 Sn 112    1257      0.38 ps     2+     (+)0.30(8)    RIV          2015Al24        PR C92 041303 (2015)
50 Sn 112    2247       3.3 ps     4+      +1.5(7)       TF         2011Wa15          PR C84 014319 (11)
50 Sn 112    2549      13.7 ns     6+      +0.53(3)    TDPAD         1983Le18         YadF 37 1342 (83)


50 Sn 113     738       86 ns     11/2-    -1.30(2)    TDPAD         1981Go17          IzF 45 2116 (81)


50 Sn 114    1300      0.42 ps     2+      +0.22(5)      TF         2011Wa15          PR C84 014319 (11)
50 Sn 114    2188       5.3 ps     4+      +0.4(3)       TF         2011Wa15          PR C84 014319 (11)
50 Sn 114    2275      0.36 ps     3-      -1.5(7)       TF         2011Wa15          PR C84 014319 (11)
50 Sn 114    3087      733 ns      7-     -0.563(4)    TDPAD         1973IsZQ         Cf73Mun 1 256 (73)


50 Sn 115     613      3.26 ps    7/2+    +0.683(10)   TDPAD         1975Iv02          RRou 20 141 (75)
50 Sn 115     714      159 mus     11/2-   -1.369(4)    NMR/AC        1971Br03           PL 34B 54 (71)


50 Sn 116    1294      0.37 ps     2+      +0.01(4)      TF         2011Wa15          PR C84 014319 (11)
50 Sn 116    2266      0.34 ps     3-      -0.0(7)       TF         2011Wa15         PR C84 014319 (2011)
50 Sn 116    2366      348 ns      5-     -0.374(3)    TDPAD         1973IsZQ         Cf73Mun 1 256 (73)
50 Sn 116    3547      833 ns     10+     -2.307(15)   TDPAD         1973IsZQ         Cf73Mun 1 256 (73)


50 Sn 117     159      279 ps     3/2+     +0.66(5)     IPAC         1086Bo31          ZP A325 281 (86)


50 Sn 118    1230      0.485 ps    2+     +0.34(20)      TF          2008Ea02          PL B665 147 (08)
50 Sn 118    2321      21.7 ns     5-      -0.34(4)     IPAC         1962Bo16          ZP 168 370 (62)
50 Sn 118    2575      230 ns      7-     -0.683(4)    TDPAD         1973IsZQ         Cf73Mun 1 256 (73)


30
Nucleus     Ex (keV)    T1/2        I        munm        Method    NSR Keynumber     Journal Reference
50 Sn 118    3108      2.52 mus    (9+)     -2.184(6)      TDPAD       1973IsZQ       Cf73Mun 1 256 (73)
50 Sn 118        ??       ? ?           (10+)     -2.427(7)      TDPAD       1973IsZQ       Cf73Mun 1 256 (73)


50 Sn 119     24       18.0 ns    3/2+     +0.633(3)       ME         1973Cr01         ZP 258 56 (73)


50 Sn 120    1171      0.64 ps     2+       -0.20(6)       RIV        2015Al24      PR C92 041303 (2015)
50 Sn 120     2284      5.55 ns     5-       -0.37(5)       IPAC       1962Bo16        ZP 168 370 (62)



50 Sn 122    1140      0.78 ps     2+       -0.09(4)       TF         2011Wa15       PR C84 014319 (11)
50 Sn 122    2142      1.6 ps      4+        -0.7(7)       TF         2011Wa15       PR C84 014319 (11)


50 Sn 124    1132      0.92 ps     2+       -0.19(2)       RIV        2015Al24      PR C92 041303 (2015)


50 Sn 126    1141      1.15 ps     2+      (-)0.24(6)      RIV        2013Al10      PR C87 054325 (2013)
50 Sn 126    2219      6.6 mus      7-       -0.69(6)      TDPAD        2010Il01       PL B687 305 (10)


Eur Phys Lett 91
50 Sn 127    1827      4.5 mus    (19/2)      -1.6(2)      TDPAD       2010At03
42001 (10)


50 Sn 128    1169      1.6 ps      2+      (-)0.46(12)     RIV        2013Al10      PR C87 054325 (2013)
Eur Phys Lett 91
50 Sn 128    2492      2.9 mus     10+        -2.0(4)      TDPAD       2010At03
42001 (10)


51 Sb 112     826      536 ns      8-      +2.192(8)      TDPAD       1976Ke07         HFI 2 336 (76)


51 Sb 114     496      219 mus      8-      +2.265(5)     SOPAD        1976Ke07         HFI 2 336 (76)


51 Sb 115    1300      6.2 ns     11/2-     +5.53(8)      TDPAD       1980Le05         IzF 44 202 (80)
51 Sb 115    2796      159 ns     19/2-     +2.73(4)      TDPAD       1979Fa03        PR C19 720 (79)


51 Sb 116     94       194 ns      1+       +2.47(9)      TDPAD       1993Di06        ZP A347 37 (93)


"51 Sb 117    1323      3.8 ns     11/2-     +5.35(9)     TDPAD, R     1980Le05         IzF 44 202 (80)"
51 Sb 117    3131      355 ns    (25/2)+    +1.45(4)      TDPAD       1972Me15        PL B40 192 (72)
51 Sb 117    3231      290 ns     23/2-     +5.03(6)      TDPAD       1987Io01        NP A466 317 (87)


51 Sb 118     51       20.6 mus    (3)+      +2.63(5)      TDPAD       1975Pl04        PL 57B 235 (75)
51 Sb 118     270      13.4 ns     3-       -3.76(9)      TDPAD       1985Di07        ZP A320 613 (85)
51 Sb 118     965      22.6 ns     7+      +4.76(13)      TDPAD       1985Di07        ZP A320 613 (85)


51 Sb 119    2554      130 ns     19/2-     +3.14(6)      TDPAC       1991Io02        NP A531 112 (91)


51 Sb 120     78       246 ns      3+      +2.584(6)      TDPAD       1976Io03        PL 64B 151 (76)


51 Sb 121     37       3.5 ns     7/2+     +2.518(7)       ME         1976La09        PR C13 2589 (76)


51 Sb 122     61       1.86 mus     3+      +2.983(12)    SOPAD        1973He10        PR C7 2128 (73)
51 Sb 122     137      530 mus      5+      +3.05(10)      TDPAD       1977Co18        RRou 22 541 (77)

31
Nucleus     Ex (keV)    T1/2       I        munm        Method    NSR Keynumber        Journal Reference


51 Sb 124     41       3.2 mus     3+       +2.97(3)      TDPAD        1981Io04            HFI 9 75 (81)
51 Sb 124     125      86 ns      6-      +0.384(12)     TDPAD        1981Io04            HFI 9 75 (81)


52 Te 115     280      7.5 mus    11/2-     -0.954(5)     TDPAD        1977MiZL         DisA 37 4025B (77)


